1
0
26
2940,Wave Riders,Riverview Middle School,Grundy,VA,USA
3477,Geeks in Just Their Underpants,Family Friends,Crozet,VA,USA
3749,League of Incompetent Gentlemen,The GW Community School,Springfield,VA,USA
3804,Team Snuffleupagus,St. Christopher's School,Richmond,VA,USA
4323,ICATZ,Nottoway Middle and High School,Crewe,VA,USA
4592,Nuts and Bolts,Neighborhood Group,Centreville,VA,USA
5262,Technomancers,Battlefield High School,Haymarket,VA,USA
5272,Heptahelix,Battlefield High School,Haymarket,VA,USA
5401,Warriors,Elk Hill Charlottesville,Charlottesville,VA,USA
5414,Techie Tornados,Richlands High School,Cedar Bluff,VA,USA
5429,Team CLUTCH,St. Gertrude High School,Richmond,VA,USA
6010,Thunder Stone,St. Stephens & St. Agnes School,Alexandria,VA,USA
6124,Geek Gods,Western Albermarle High,Crozet,VA,USA
6193,Electrical Invaders,Neighborhood Group,Newport News,VA,USA
6652,United,Flint Hill School,Oakton,VA,USA
6700,X-BOTS,Family Friends,Fairfax,VA,USA
6820,Team IMPACT,Neighborhood Group,Haymarket,VA,USA
7037,Duck and Cover Robotics,Henrico County 4-H,Henrico,VA,USA
7080,BACON,Chalottesville High School,Charlottesville,VA,USA
7117,The Blockheads,Family Friends,Burke,VA,USA
7171,Shockwave,Family Friends,Chantilly,VA,USA
7872,The Robots Who Say Ni,Neighborhood Group,Harrisonburg,VA,USA
8390,Nerd Herd,Henley Middle School,Charlottesville,VA,USA
8498,The Evil Purple Sox,Neighborhood Group,Lebanon,VA,USA
8910,Veri-Tech,Veritas School,Richmond,VA,USA
9064,Nerds of the North,Albermarle High School,Charlottesville,VA,USA
1,5414,Techie Tornados,10,937,562,5
2,8498,The Evil Purple Sox,8,758,562,5
3,5272,Heptahelix,8,577,470,5
4,7117,The Blockheads,8,570,362,5
5,2940,Wave Riders,6,813,352,5
6,6652,United,6,756,319,5
7,5262,Technomancers,6,615,292,4
8,4323,ICATZ,6,588,306,5
9,3749,League of Incompetent Gentlemen,6,564,418,4
10,8390,Nerd Herd,6,448,290,5
11,3477,Geeks in Just Their Underpants,6,432,292,5
12,6124,Geek Gods,5,530,299,5
13,7080,BACON,4,946,288,5
14,6820,Team IMPACT,4,874,306,5
15,9064,Nerds of the North,4,858,352,5
16,7037,Duck and Cover Robotics,4,794,232,5
17,7872,The Robots Who Say Ni,4,728,264,5
18,3804,Team Snuffleupagus,4,602,236,5
19,6010,Thunder Stone,4,501,381,5
20,6700,X-BOTS,4,458,290,5
21,6193,Electrical Invaders,3,749,266,5
22,5401,Warriors,3,646,282,4
23,8910,Veri-Tech,2,617,242,5
24,4592,Nuts and Bolts,2,513,232,5
25,7171,Shockwave,2,494,256,4
26,5429,Team CLUTCH,1,584,204,5
33
Q-1,242-114 R,6010,8910,0,3477,5429,0,242.0,110.0,0.0,0.0,132.0,0.0,114.0,0.0,0.0,24.0,60.0,30.0
Q-2,177-288 B,4592,5401,0,8390,7080,0,177.0,30.0,0.0,0.0,120.0,27.0,288.0,130.0,0.0,38.0,120.0,0.0
Q-3,263-470 B,5262,6820,0,5414,5272,0,263.0,0.0,0.0,51.0,212.0,0.0,470.0,60.0,0.0,108.0,242.0,60.0
Q-4,192-250 B,3749,6700,0,6652,8498,0,192.0,0.0,0.0,0.0,172.0,20.0,250.0,60.0,0.0,60.0,70.0,60.0
Q-5,142-174 B,7171,6193,0,3804,7872,0,142.0,40.0,0.0,0.0,102.0,0.0,174.0,50.0,0.0,24.0,40.0,60.0
Q-6,120-299 B,4323,9064,0,7117,6124,0,120.0,20.0,0.0,0.0,90.0,10.0,299.0,20.0,0.0,51.0,228.0,0.0
Q-7,196-282 B,7037,6700,0,2940,5401,0,196.0,0.0,0.0,0.0,196.0,0.0,282.0,0.0,0.0,0.0,262.0,20.0
Q-8,242-117 R,3749,6193,0,6820,6010,0,242.0,20.0,0.0,0.0,222.0,0.0,117.0,20.0,0.0,57.0,40.0,0.0
Q-9,68-30 R,3477,4323,0,5272,3804,0,68.0,50.0,0.0,18.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,10.0
Q-10,184-60 R,8390,7117,0,6652,7171,0,184.0,20.0,0.0,104.0,60.0,0.0,60.0,20.0,0.0,0.0,20.0,20.0
Q-11,166-232 B,5429,9064,0,4592,7037,0,166.0,20.0,0.0,18.0,118.0,10.0,232.0,20.0,0.0,0.0,192.0,20.0
Q-12,188-264 B,2940,7080,0,7872,5262,0,188.0,50.0,0.0,18.0,120.0,0.0,264.0,20.0,0.0,0.0,244.0,0.0
Q-13,562-80 R,8498,5414,0,6124,8910,0,562.0,80.0,0.0,150.0,272.0,60.0,80.0,20.0,0.0,0.0,50.0,10.0
Q-14,200-361 B,5401,3477,0,3749,7117,0,200.0,50.0,0.0,0.0,100.0,50.0,361.0,20.0,0.0,69.0,222.0,50.0
Q-15,290-90 R,6700,8390,0,6010,7872,0,290.0,50.0,0.0,18.0,222.0,0.0,90.0,20.0,0.0,0.0,0.0,70.0
Q-16,144-186 B,7037,8910,0,4323,5262,0,144.0,20.0,0.0,10.0,114.0,0.0,186.0,70.0,0.0,36.0,70.0,10.0
Q-17,212-352 B,8498,3804,0,2940,9064,0,212.0,20.0,0.0,72.0,120.0,0.0,352.0,20.0,0.0,0.0,282.0,50.0
Q-18,90-168 B,4592,7171,0,6124,5272,0,90.0,20.0,0.0,0.0,70.0,0.0,168.0,20.0,0.0,0.0,148.0,0.0
Q-19,319-266 R,5414,6652,0,6193,7080,0,319.0,30.0,0.0,189.0,100.0,0.0,266.0,80.0,0.0,0.0,186.0,0.0
Q-20,306-204 R,6820,4323,0,5429,8390,0,306.0,80.0,0.0,106.0,70.0,50.0,204.0,20.0,0.0,44.0,90.0,50.0
Q-21,292-20 R,3477,5262,0,4592,6700,0,292.0,50.0,0.0,72.0,170.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0
Q-22,271-140 R,5272,6652,0,2940,6010,0,271.0,50.0,0.0,49.0,172.0,0.0,140.0,20.0,0.0,0.0,100.0,20.0
Q-23,178-418 B,7037,3804,0,5414,3749,0,178.0,0.0,0.0,22.0,156.0,0.0,418.0,20.0,0.0,186.0,202.0,10.0
Q-24,150-150 T,6124,5401,0,6193,5429,0,150.0,20.0,0.0,0.0,120.0,10.0,150.0,0.0,0.0,0.0,150.0,0.0
Q-25,256-222 R,7080,7171,0,9064,8910,0,256.0,20.0,0.0,0.0,226.0,10.0,222.0,20.0,0.0,0.0,202.0,0.0
Q-26,230-362 B,7872,6820,0,7117,8498,0,230.0,20.0,0.0,70.0,130.0,10.0,362.0,20.0,0.0,140.0,202.0,0.0
Q-27,381-160 R,5414,6010,0,4323,5401,0,381.0,110.0,0.0,69.0,202.0,0.0,160.0,20.0,0.0,20.0,120.0,0.0
Q-28,210-157 R,2940,3749,0,4592,8910,0,210.0,20.0,0.0,90.0,30.0,70.0,157.0,50.0,0.0,17.0,30.0,60.0
Q-29,140-152 B,6124,7080,0,6820,7037,0,140.0,20.0,0.0,0.0,100.0,20.0,152.0,50.0,0.0,42.0,60.0,0.0
Q-30,60-236 B,5429,7117,0,3804,6700,0,60.0,20.0,0.0,0.0,30.0,10.0,236.0,20.0,0.0,54.0,162.0,0.0
Q-31,186-84 R,5272,8498,0,6193,8390,0,186.0,50.0,0.0,66.0,70.0,0.0,84.0,20.0,0.0,34.0,30.0,0.0
Q-32,158-222 B,6652,7872,0,3477,9064,0,158.0,50.0,0.0,18.0,90.0,0.0,222.0,0.0,0.0,0.0,222.0,0.0
Q-33, ,5262,5401,0,7171,3749,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
